urlexample :http//:someurl
ingameexample %spy
choco_egg :http://agario-skins.org/images/skins/custom/choco_egg.png?v0.10.3
carrot :http://agario-skins.org/images/skins/custom/carrot.png?v0.10.3
rooster :http://agario-skins.org/images/skins/custom/rooster.png?v0.10.3
statue :http://agario-skins.org/images/skins/custom/statue.png?v0.10.3
rabbit :http://agario-skins.org/images/skins/custom/rabbit.png?v0.10.3
leprechaun :http://agario-skins.org/images/skins/custom/leprechaun.png?v0.10.3
boot :http://agario-skins.org/images/skins/custom/boot.png?v0.10.3
hat :http://agario-skins.org/images/skins/custom/hat.png?v0.10.3
rainbow :http://agario-skins.org/images/skins/custom/rainbow.png?v0.10.3
gold-pot :http://agario-skins.org/images/skins/custom/gold-pot.png?v0.10.3
astronaut :http://agario-skins.org/images/skins/custom/astronaut.png?v0.10.3
Chillipeper :http://i.imgur.com/GbGDMty.png
fox :http://agario-skins.org/images/skins/custom/fox.png?v0.10.3
bear :http://agario-skins.org/images/skins/custom/bear.png?v0.10.3
birdie :http://agario-skins.org/images/skins/custom/birdie.png?v0.10.3
bite :http://agario-skins.org/images/skins/custom/bite.png?v0.10.3
bomb :http://agario-skins.org/images/skins/custom/bomb.png?v0.10.3
kraken :http://agario-skins.org/images/skins/custom/kraken.png?v0.10.3
hunter :http://agario-skins.org/images/skins/custom/hunter.png?v0.10.3
fly :http://agario-skins.org/images/skins/custom/fly.png?v0.10.3
coyote :http://agario-skins.org/images/skins/custom/coyote.png?v0.10.3
lizard :http://agario-skins.org/images/skins/custom/lizard.png?v0.10.3
lion :http://agario-skins.org/images/skins/custom/lion.png?v0.10.3
bat :http://agario-skins.org/images/skins/custom/bat.png?v0.10.3
cougar :http://agario-skins.org/images/skins/custom/cougar.png?v0.10.3
spider :http://agario-skins.org/images/skins/custom/spider.png?v0.10.3
raptor :http://agario-skins.org/images/skins/custom/raptor.png?v0.10.3
wasp :http://agario-skins.org/images/skins/custom/wasp.png?v0.10.3
snake :http://agario-skins.org/images/skins/custom/snake.png?v0.10.3
sumo :http://agario-skins.org/images/skins/custom/sumo.png?v0.10.3
mammoth :http://agario-skins.org/images/skins/custom/mammoth.png?v0.10.3
crocodile :http://agario-skins.org/images/skins/custom/crocodile.png?v0.10.3
shark :http://agario-skins.org/images/skins/custom/shark.png?v0.10.3
t-rex :http://agario-skins.org/images/skins/custom/t-rex.png?v0.10.3
panther :http://agario-skins.org/images/skins/custom/panther.png?v0.10.3
turtle :http://agario-skins.org/images/skins/custom/turtle.png?v0.10.3
target :http://agario-skins.org/images/skins/custom/target.png?v0.10.3
baseball :http://agario-skins.org/images/skins/custom/baseball.png?v0.10.3
mercury :http://agario-skins.org/images/skins/custom/mercury.png?v0.10.3
venus :http://agario-skins.org/images/skins/custom/venus.png?v0.10.3
bite :http://agario-skins.org/images/skins/custom/bite.png?v0.10.3
birdie :http://agario-skins.org/images/skins/custom/birdie.png?v0.10.3
saturn :http://agario-skins.org/images/skins/custom/saturn.png?v0.10.3
scarecrow :http://agario-skins.org/images/skins/custom/scarecrow.png?v0.10.3
apple :http://agario-skins.org/images/skins/custom/apple.png?v0.10.3
seal :http://agario-skins.org/images/skins/custom/seal.png?v0.10.3
wolf :http://agario-skins.org/images/skins/custom/wolf.png?v0.10.3
brofist :http://agario-skins.org/images/skins/custom/brofist.png?v0.10.3
snowman :http://agario-skins.org/images/skins/custom/snowman.png?v0.10.3
banana :http://agario-skins.org/images/skins/custom/banana.png?v0.10.3
toxic :http://agario-skins.org/images/skins/custom/toxic.png?v0.10.3
radar :http://agario-skins.org/images/skins/custom/radar.png?v0.10.3
uranus :http://agario-skins.org/images/skins/custom/uranus.png?v0.10.3
evil :http://agario-skins.org/images/skins/custom/evil.png?v0.10.3
virus :http://agario-skins.org/images/skins/custom/virus.png?v0.10.3
halloween :http://agario-skins.org/images/skins/custom/halloween.png?v0.10.3
donuts :http://agario-skins.org/images/skins/custom/donuts.png?v0.10.3
basketball :http://agario-skins.org/images/skins/custom/basketball.png?v0.10.3
monster :http://agario-skins.org/images/skins/custom/monster.png?v0.10.3
pizza :http://agario-skins.org/images/skins/custom/pizza.png?v0.10.3
